   lxc-monitord 20170223220711.372 DEBUG    lxc_monitord - lxc_monitord.c:lxc_monitord_fifo_create:108 - lxc-monitord already running on lxcpath /home/achalabi/.local/share/lxc.
   lxc-monitord 20170223220711.378 DEBUG    lxc_monitord - lxc_monitord.c:lxc_monitord_fifo_create:108 - lxc-monitord already running on lxcpath /home/achalabi/.local/share/lxc.
   lxc-monitord 20170223220711.379 INFO     lxc_monitord - lxc_monitord.c:lxc_monitord_sock_accept:222 - Accepted client file descriptor 5. Number of accepted file descriptors is now 1.
   lxc-monitord 20170223220747.199 NOTICE   lxc_monitord - lxc_monitord.c:main:426 - No remaining clients. lxc-monitord is exiting.
   lxc-monitord 20170223220747.200 INFO     lxc_monitor - monitor.c:lxc_monitor_sock_name:185 - Using monitor socket name "lxc/33eabcc2f62b1fa7//home/achalabi/.local/share/lxc".
   lxc-monitord 20170223220758.281 INFO     lxc_monitor - monitor.c:lxc_monitor_sock_name:185 - Using monitor socket name "lxc/33eabcc2f62b1fa7//home/achalabi/.local/share/lxc".
   lxc-monitord 20170223220758.281 NOTICE   lxc_monitord - lxc_monitord.c:main:422 - lxc-monitord with pid 868 is now monitoring lxcpath /home/achalabi/.local/share/lxc.
   lxc-monitord 20170223220758.286 DEBUG    lxc_monitord - lxc_monitord.c:lxc_monitord_fifo_create:108 - lxc-monitord already running on lxcpath /home/achalabi/.local/share/lxc.
   lxc-monitord 20170223220758.287 INFO     lxc_monitord - lxc_monitord.c:lxc_monitord_sock_accept:222 - Accepted client file descriptor 5. Number of accepted file descriptors is now 1.
   lxc-monitord 20170223220833.908 NOTICE   lxc_monitord - lxc_monitord.c:main:426 - No remaining clients. lxc-monitord is exiting.
   lxc-monitord 20170223220833.908 INFO     lxc_monitor - monitor.c:lxc_monitor_sock_name:185 - Using monitor socket name "lxc/33eabcc2f62b1fa7//home/achalabi/.local/share/lxc".
   lxc-monitord 20170223224501.328 INFO     lxc_monitor - monitor.c:lxc_monitor_sock_name:185 - Using monitor socket name "lxc/33eabcc2f62b1fa7//home/achalabi/.local/share/lxc".
   lxc-monitord 20170223224501.328 NOTICE   lxc_monitord - lxc_monitord.c:main:422 - lxc-monitord with pid 1072 is now monitoring lxcpath /home/achalabi/.local/share/lxc.
   lxc-monitord 20170223224501.334 DEBUG    lxc_monitord - lxc_monitord.c:lxc_monitord_fifo_create:108 - lxc-monitord already running on lxcpath /home/achalabi/.local/share/lxc.
   lxc-monitord 20170223224501.335 INFO     lxc_monitord - lxc_monitord.c:lxc_monitord_sock_accept:222 - Accepted client file descriptor 5. Number of accepted file descriptors is now 1.
   lxc-monitord 20170223224525.170 DEBUG    lxc_monitord - lxc_monitord.c:lxc_monitord_fifo_create:108 - lxc-monitord already running on lxcpath /home/achalabi/.local/share/lxc.
   lxc-monitord 20170223224525.175 DEBUG    lxc_monitord - lxc_monitord.c:lxc_monitord_fifo_create:108 - lxc-monitord already running on lxcpath /home/achalabi/.local/share/lxc.
   lxc-monitord 20170223224525.176 INFO     lxc_monitord - lxc_monitord.c:lxc_monitord_sock_accept:222 - Accepted client file descriptor 5. Number of accepted file descriptors is now 1.
   lxc-monitord 20170223224555.407 NOTICE   lxc_monitord - lxc_monitord.c:main:426 - No remaining clients. lxc-monitord is exiting.
   lxc-monitord 20170223224555.407 INFO     lxc_monitor - monitor.c:lxc_monitor_sock_name:185 - Using monitor socket name "lxc/33eabcc2f62b1fa7//home/achalabi/.local/share/lxc".
   lxc-monitord 20170223225758.471 INFO     lxc_monitor - monitor.c:lxc_monitor_sock_name:185 - Using monitor socket name "lxc/33eabcc2f62b1fa7//home/achalabi/.local/share/lxc".
   lxc-monitord 20170223225758.471 NOTICE   lxc_monitord - lxc_monitord.c:main:422 - lxc-monitord with pid 1502 is now monitoring lxcpath /home/achalabi/.local/share/lxc.
   lxc-monitord 20170223225758.477 DEBUG    lxc_monitord - lxc_monitord.c:lxc_monitord_fifo_create:108 - lxc-monitord already running on lxcpath /home/achalabi/.local/share/lxc.
   lxc-monitord 20170223225758.478 INFO     lxc_monitord - lxc_monitord.c:lxc_monitord_sock_accept:222 - Accepted client file descriptor 5. Number of accepted file descriptors is now 1.
   lxc-monitord 20170223225828.675 NOTICE   lxc_monitord - lxc_monitord.c:main:426 - No remaining clients. lxc-monitord is exiting.
   lxc-monitord 20170223225828.675 INFO     lxc_monitor - monitor.c:lxc_monitor_sock_name:185 - Using monitor socket name "lxc/33eabcc2f62b1fa7//home/achalabi/.local/share/lxc".
   lxc-monitord 20170227234502.243 INFO     lxc_monitor - monitor.c:lxc_monitor_sock_name:185 - Using monitor socket name "lxc/33eabcc2f62b1fa7//home/achalabi/.local/share/lxc".
   lxc-monitord 20170227234502.243 NOTICE   lxc_monitord - lxc_monitord.c:main:422 - lxc-monitord with pid 18280 is now monitoring lxcpath /home/achalabi/.local/share/lxc.
   lxc-monitord 20170227234502.244 INFO     lxc_monitord - lxc_monitord.c:lxc_monitord_sock_accept:222 - Accepted client file descriptor 5. Number of accepted file descriptors is now 1.
   lxc-monitord 20170227234534.627 NOTICE   lxc_monitord - lxc_monitord.c:main:426 - No remaining clients. lxc-monitord is exiting.
   lxc-monitord 20170227234534.627 INFO     lxc_monitor - monitor.c:lxc_monitor_sock_name:185 - Using monitor socket name "lxc/33eabcc2f62b1fa7//home/achalabi/.local/share/lxc".
   lxc-monitord 20170227235000.331 INFO     lxc_monitor - monitor.c:lxc_monitor_sock_name:185 - Using monitor socket name "lxc/33eabcc2f62b1fa7//home/achalabi/.local/share/lxc".
   lxc-monitord 20170227235000.332 NOTICE   lxc_monitord - lxc_monitord.c:main:422 - lxc-monitord with pid 18485 is now monitoring lxcpath /home/achalabi/.local/share/lxc.
   lxc-monitord 20170227235000.337 DEBUG    lxc_monitord - lxc_monitord.c:lxc_monitord_fifo_create:108 - lxc-monitord already running on lxcpath /home/achalabi/.local/share/lxc.
   lxc-monitord 20170227235000.338 INFO     lxc_monitord - lxc_monitord.c:lxc_monitord_sock_accept:222 - Accepted client file descriptor 5. Number of accepted file descriptors is now 1.
   lxc-monitord 20170227235030.532 NOTICE   lxc_monitord - lxc_monitord.c:main:426 - No remaining clients. lxc-monitord is exiting.
   lxc-monitord 20170227235030.532 INFO     lxc_monitor - monitor.c:lxc_monitor_sock_name:185 - Using monitor socket name "lxc/33eabcc2f62b1fa7//home/achalabi/.local/share/lxc".
   lxc-monitord 20170228003701.703 INFO     lxc_monitor - monitor.c:lxc_monitor_sock_name:185 - Using monitor socket name "lxc/33eabcc2f62b1fa7//home/achalabi/.local/share/lxc".
   lxc-monitord 20170228003701.703 NOTICE   lxc_monitord - lxc_monitord.c:main:422 - lxc-monitord with pid 19613 is now monitoring lxcpath /home/achalabi/.local/share/lxc.
   lxc-monitord 20170228003701.704 INFO     lxc_monitord - lxc_monitord.c:lxc_monitord_sock_accept:222 - Accepted client file descriptor 5. Number of accepted file descriptors is now 1.
   lxc-monitord 20170228003706.987 DEBUG    lxc_monitord - lxc_monitord.c:lxc_monitord_fifo_create:108 - lxc-monitord already running on lxcpath /home/achalabi/.local/share/lxc.
   lxc-monitord 20170228003706.988 INFO     lxc_monitord - lxc_monitord.c:lxc_monitord_sock_accept:222 - Accepted client file descriptor 5. Number of accepted file descriptors is now 1.
   lxc-monitord 20170228003738.263 NOTICE   lxc_monitord - lxc_monitord.c:main:426 - No remaining clients. lxc-monitord is exiting.
   lxc-monitord 20170228003738.263 INFO     lxc_monitor - monitor.c:lxc_monitor_sock_name:185 - Using monitor socket name "lxc/33eabcc2f62b1fa7//home/achalabi/.local/share/lxc".
   lxc-monitord 20170228003949.709 INFO     lxc_monitor - monitor.c:lxc_monitor_sock_name:185 - Using monitor socket name "lxc/33eabcc2f62b1fa7//home/achalabi/.local/share/lxc".
   lxc-monitord 20170228003949.711 NOTICE   lxc_monitord - lxc_monitord.c:main:422 - lxc-monitord with pid 831 is now monitoring lxcpath /home/achalabi/.local/share/lxc.
   lxc-monitord 20170228003949.716 DEBUG    lxc_monitord - lxc_monitord.c:lxc_monitord_fifo_create:108 - lxc-monitord already running on lxcpath /home/achalabi/.local/share/lxc.
   lxc-monitord 20170228003949.717 INFO     lxc_monitord - lxc_monitord.c:lxc_monitord_sock_accept:222 - Accepted client file descriptor 5. Number of accepted file descriptors is now 1.
   lxc-monitord 20170228003952.901 DEBUG    lxc_monitord - lxc_monitord.c:lxc_monitord_fifo_create:108 - lxc-monitord already running on lxcpath /home/achalabi/.local/share/lxc.
   lxc-monitord 20170228003952.970 DEBUG    lxc_monitord - lxc_monitord.c:lxc_monitord_fifo_create:108 - lxc-monitord already running on lxcpath /home/achalabi/.local/share/lxc.
   lxc-monitord 20170228003952.978 INFO     lxc_monitord - lxc_monitord.c:lxc_monitord_sock_accept:222 - Accepted client file descriptor 5. Number of accepted file descriptors is now 1.
   lxc-monitord 20170228004022.279 NOTICE   lxc_monitord - lxc_monitord.c:main:426 - No remaining clients. lxc-monitord is exiting.
   lxc-monitord 20170228004022.279 INFO     lxc_monitor - monitor.c:lxc_monitor_sock_name:185 - Using monitor socket name "lxc/33eabcc2f62b1fa7//home/achalabi/.local/share/lxc".
   lxc-monitord 20170228004802.780 INFO     lxc_monitor - monitor.c:lxc_monitor_sock_name:185 - Using monitor socket name "lxc/33eabcc2f62b1fa7//home/achalabi/.local/share/lxc".
   lxc-monitord 20170228004802.780 NOTICE   lxc_monitord - lxc_monitord.c:main:422 - lxc-monitord with pid 1474 is now monitoring lxcpath /home/achalabi/.local/share/lxc.
   lxc-monitord 20170228004802.781 INFO     lxc_monitord - lxc_monitord.c:lxc_monitord_sock_accept:222 - Accepted client file descriptor 5. Number of accepted file descriptors is now 1.
   lxc-monitord 20170228004806.730 DEBUG    lxc_monitord - lxc_monitord.c:lxc_monitord_fifo_create:108 - lxc-monitord already running on lxcpath /home/achalabi/.local/share/lxc.
   lxc-monitord 20170228004806.731 INFO     lxc_monitord - lxc_monitord.c:lxc_monitord_sock_accept:222 - Accepted client file descriptor 5. Number of accepted file descriptors is now 1.
   lxc-monitord 20170228004926.211 INFO     lxc_monitor - monitor.c:lxc_monitor_sock_name:185 - Using monitor socket name "lxc/33eabcc2f62b1fa7//home/achalabi/.local/share/lxc".
   lxc-monitord 20170228004926.212 NOTICE   lxc_monitord - lxc_monitord.c:main:422 - lxc-monitord with pid 784 is now monitoring lxcpath /home/achalabi/.local/share/lxc.
   lxc-monitord 20170228004926.217 DEBUG    lxc_monitord - lxc_monitord.c:lxc_monitord_fifo_create:108 - lxc-monitord already running on lxcpath /home/achalabi/.local/share/lxc.
   lxc-monitord 20170228004926.218 INFO     lxc_monitord - lxc_monitord.c:lxc_monitord_sock_accept:222 - Accepted client file descriptor 5. Number of accepted file descriptors is now 1.
   lxc-monitord 20170228004929.695 DEBUG    lxc_monitord - lxc_monitord.c:lxc_monitord_fifo_create:108 - lxc-monitord already running on lxcpath /home/achalabi/.local/share/lxc.
   lxc-monitord 20170228004929.702 DEBUG    lxc_monitord - lxc_monitord.c:lxc_monitord_fifo_create:108 - lxc-monitord already running on lxcpath /home/achalabi/.local/share/lxc.
   lxc-monitord 20170228004929.703 INFO     lxc_monitord - lxc_monitord.c:lxc_monitord_sock_accept:222 - Accepted client file descriptor 5. Number of accepted file descriptors is now 1.
   lxc-monitord 20170228004959.945 NOTICE   lxc_monitord - lxc_monitord.c:main:426 - No remaining clients. lxc-monitord is exiting.
   lxc-monitord 20170228004959.946 INFO     lxc_monitor - monitor.c:lxc_monitor_sock_name:185 - Using monitor socket name "lxc/33eabcc2f62b1fa7//home/achalabi/.local/share/lxc".
   lxc-monitord 20180305230818.657 INFO     lxc_monitor - monitor.c:lxc_monitor_sock_name:185 - Using monitor socket name "lxc/33eabcc2f62b1fa7//home/achalabi/.local/share/lxc".
   lxc-monitord 20180305230818.658 NOTICE   lxc_monitord - lxc_monitord.c:main:422 - lxc-monitord with pid 21163 is now monitoring lxcpath /home/achalabi/.local/share/lxc.
   lxc-monitord 20180305230818.664 INFO     lxc_monitord - lxc_monitord.c:lxc_monitord_sock_accept:222 - Accepted client file descriptor 5. Number of accepted file descriptors is now 1.
   lxc-monitord 20180305230850.484 NOTICE   lxc_monitord - lxc_monitord.c:main:426 - No remaining clients. lxc-monitord is exiting.
   lxc-monitord 20180305230850.485 INFO     lxc_monitor - monitor.c:lxc_monitor_sock_name:185 - Using monitor socket name "lxc/33eabcc2f62b1fa7//home/achalabi/.local/share/lxc".
   lxc-monitord 20180305231343.735 INFO     lxc_monitor - monitor.c:lxc_monitor_sock_name:185 - Using monitor socket name "lxc/33eabcc2f62b1fa7//home/achalabi/.local/share/lxc".
   lxc-monitord 20180305231343.735 NOTICE   lxc_monitord - lxc_monitord.c:main:422 - lxc-monitord with pid 21498 is now monitoring lxcpath /home/achalabi/.local/share/lxc.
   lxc-monitord 20180305231343.740 DEBUG    lxc_monitord - lxc_monitord.c:lxc_monitord_fifo_create:108 - lxc-monitord already running on lxcpath /home/achalabi/.local/share/lxc.
   lxc-monitord 20180305231343.741 INFO     lxc_monitord - lxc_monitord.c:lxc_monitord_sock_accept:222 - Accepted client file descriptor 5. Number of accepted file descriptors is now 1.
   lxc-monitord 20180305231413.974 NOTICE   lxc_monitord - lxc_monitord.c:main:426 - No remaining clients. lxc-monitord is exiting.
   lxc-monitord 20180305231413.974 INFO     lxc_monitor - monitor.c:lxc_monitor_sock_name:185 - Using monitor socket name "lxc/33eabcc2f62b1fa7//home/achalabi/.local/share/lxc".
   lxc-monitord 20180305231431.882 INFO     lxc_monitor - monitor.c:lxc_monitor_sock_name:185 - Using monitor socket name "lxc/33eabcc2f62b1fa7//home/achalabi/.local/share/lxc".
   lxc-monitord 20180305231431.882 NOTICE   lxc_monitord - lxc_monitord.c:main:422 - lxc-monitord with pid 21798 is now monitoring lxcpath /home/achalabi/.local/share/lxc.
   lxc-monitord 20180305231431.888 INFO     lxc_monitord - lxc_monitord.c:lxc_monitord_sock_accept:222 - Accepted client file descriptor 5. Number of accepted file descriptors is now 1.
   lxc-monitord 20180305231438.601 DEBUG    lxc_monitord - lxc_monitord.c:lxc_monitord_fifo_create:108 - lxc-monitord already running on lxcpath /home/achalabi/.local/share/lxc.
   lxc-monitord 20180305231438.607 DEBUG    lxc_monitord - lxc_monitord.c:lxc_monitord_fifo_create:108 - lxc-monitord already running on lxcpath /home/achalabi/.local/share/lxc.
